"","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132758254",9.01823361489945,8.99135769024146,7.5770102986508,7.7890527300868,7.61799995441299,7.90348982202771,7.78503655802838,8.36219696935414,8.10246900797769,7.7309758660368,7.43127930730373,8.48987682533441,6.8708405814907,7.05600275342012,7.86691686258671,7.0029169529799,6.27803932926775,6.74429055973838,7.17241478194945,6.69942740326075,6.65387928736283,7.67450420909871,6.9605147726873,6.23625061656922,6.41043984355123,6.41964836186521,6.60777921850064,7.16901791666584,6.84818411765253,7.13444226611486
"LOC132746399",5.27628952953365,6.31438781101382,7.93600984814608,7.72737321676371,6.92949936638874,8.01609823792826,6.24597314346219,6.40964191603359,5.55335518350816,6.87334382428336,7.10943761124955,5.69298924435225,7.07749949880229,5.22298057660165,6.72468216542612,4.79892898859898,4.68275127727934,5.70620478480942,5.54965662879115,5.46224023944634,6.31760728855767,5.47004829000648,5.21876764287522,5.60209181631184,6.12982647546675,5.61390745835799,6.15986504878392,5.88588360447826,4.8852686851375,4.42054043515821
"LOC132746792",5.78997837334059,6.52529666742304,5.48650100558967,5.76967621328101,6.38563512950317,7.13904925695242,6.16577456637658,6.40964191603359,5.39822533580014,7.45874541445936,5.43231575196302,6.99171099124119,6.79967867262331,5.76317826193942,6.37235276434563,4.3252118190234,4.10196356576328,5.24730880913005,5.51392029974647,5.10898992201973,5.48757489272077,4.90126874611842,5.37008729633384,5.18839056553755,5.21807438701997,5.85037624936066,6.09266955339127,4.60966922960836,5.92767699611923,4.63327648759653
"LOC132720785",5.40727779134345,3.87446287909811,3.47448702896128,4.18514812629599,3.17946176173652,4.35315601073564,4.73604722200968,5.32937124672336,3.40258083665951,3.94409455758203,4.94102375241961,3.96863955606426,4.97351415395905,4.65720386970002,5.07631241035262,5.81775897633191,6.39937766787067,6.95743900161081,4.3562725016953,4.64018843539909,5.28113899613091,6.2370685327417,4.89854673283465,6.25270937432063,7.0166382209791,7.44769614259339,5.15815679572452,4.87080552935563,6.18675582401567,4.56579086287138
"LOC132731011",5.24159598422041,7.21969968741861,6.57607361384974,6.55808063589353,6.62532524761938,7.51110334330479,6.70908071913275,6.50169030971852,5.39822533580014,5.66726586390156,6.84648959907508,6.66301605773271,5.48983013730615,6.54044595221937,6.66387458214037,5.38156965309779,3.95134938841371,5.59738245960459,6.10041844004443,5.71324284723093,5.31766206325333,5.43342985993524,4.89854673283465,5.57616952598286,6.01254494560914,5.50728175904101,5.1136558433603,5.3130686164518,6.07292808228671,4.98287003855733
"LOC132745822",7.54696896384492,8.09377766491318,8.44416658746947,8.04883993128317,9.28683160672599,9.82050110640449,7.61425117668735,8.48969985953043,6.66586345211153,7.78266356043855,7.17789732337337,8.49889688359672,6.77020109413821,8.03065603425807,8.88728702253566,6.95338773981747,5.8586432410054,6.80672516704105,7.44331210567403,6.92931100262783,6.68216748932676,6.83682678231641,6.50423104713145,6.67527113737435,7.86645063985243,6.98414949570113,7.76047051819874,6.8435210298491,7.86489340564372,5.49927825302253
"LOC132725056",7.03164247862029,7.39588445009518,6.55897779105776,7.20087882834456,6.13985480558431,5.85840499443834,5.52805448850753,6.0749268860464,6.69281931606587,6.39283073591796,6.91685424359172,5.92484097255287,6.47368772594343,6.46330423980028,5.98191287601063,5.11946443020541,4.10196356576328,5.09552388359081,6.653935837886,5.29640004392285,3.45545436464878,4.7898090625435,5.04969648637675,4.32404174764992,4.89258709303116,5.20012405965278,5.50681245528944,4.56115202913649,6.68986944229836,4.98287003855733
"LOC132741452",11.4758534478572,11.9594720781156,12.0784071813924,12.08206966376,12.1422575223214,12.3287301575471,11.7627951677607,12.0954531085737,11.1655830938054,11.5438283095387,11.5802486426755,11.9402853914496,11.2686015623526,11.7036329313165,12.0496816751732,11.3047692906666,10.5733595071879,11.3449832978353,11.6848725340255,11.4477008137154,10.8736776581153,11.0838662245366,10.5905952748233,11.4977157153396,11.5063037523245,10.4990092307387,11.2210694576861,11.0285497195052,11.6508714265395,11.0040994618137
"LOC132742068",6.78894597056748,6.56053851135742,6.18847376690153,5.32229623035555,7.54204813926988,8.80338737607207,5.65097756309619,5.74978351498054,5.71986259590019,5.31278434909275,5.26256341892958,6.61404392223283,4.75015259406111,5.62832864395474,7.31501168612974,4.5551047869764,4.58381274233492,5.51001590123285,5.80754841990742,5.57519796943306,4.85375651532374,4.84661503028603,4.72968769696682,5.88149180844907,5.60999309731869,5.12998542110997,5.39969072702169,3.71270292550082,5.71646816854923,4.34203571697009
"LOC132727777",3.47628301139099,2.96962051036168,4.24663006618468,2.65294986207249,3.59479627134138,2.62839287689858,4.03472794385194,4.97293853404569,4.89359965214429,2.70825924237838,2.94683766332289,2.95685338321665,3.74335033399174,2.81927838592411,3.70088554225551,6.88105970682698,5.16578707536409,4.38641806954729,3.76615921547824,4.41589687817428,4.6396558850305,5.39585772278979,4.72968769696682,4.75216394143393,4.9254044711835,7.71055455670752,3.27454267567575,4.98555204050175,4.05818669857022,4.17091727472288
"LOC132730403",7.24809589654425,9.61362932399224,7.5770102986508,9.99887202033499,8.73521302852294,10.1840946401302,9.36338625105338,9.07546520804511,7.93194351568998,9.06531517252896,8.72385649989253,9.11515844912518,8.36122972098318,8.31489614844031,9.76791451419026,6.83804079282861,8.16910041511624,7.65849455498724,7.79555940047944,7.53380650252728,7.77043148651817,6.2370685327417,7.54161083247675,8.38749230892918,8.6418327089543,8.22966264104467,8.32625025879184,6.8435210298491,8.11064200845067,8.73191449892528
"LOC132758583",9.45293783884785,10.3051050454332,11.1894588213366,9.10099468424546,9.88415715645917,11.3995635213936,10.1829135777041,11.5013944231451,9.23435697504204,10.2525221303299,10.3010716194713,10.3798517038176,8.77887502517281,10.2823149818171,10.9643640239143,8.59011659172492,8.68685913514113,9.33292231535743,9.87585017935458,9.93840435365856,9.29941209895604,9.15987412506838,8.5630887882318,10.1604882771492,9.14341566440552,8.81999988688569,9.92440647074087,8.95165692936212,9.49627886757817,9.38834840075965
"LOC132755646",4.05782091428591,4.42625837079495,3.47448702896128,4.18514812629599,5.29585266177374,4.25865369901668,4.03472794385194,3.78683192744079,4.79752659944989,5.23009357583218,3.2672176714129,4.75112976298344,4.0680031828056,4.43279344139471,4.70593976988204,5.32037115563929,4.58381274233492,5.09552388359081,3.17343589100039,6.40561516534841,4.51937689190304,5.31764408613801,6.66508954872767,6.47940617892739,5.29543095963242,5.05626186669637,5.54082221898766,5.55525479287635,6.48259787578256,4.93017590836039
"LOC132759372",5.74113994582565,6.37503281669562,6.25367694840596,6.72066173471132,5.33238538823274,5.89027377198114,6.32194732940617,6.23674321789356,5.71986259590019,4.78500463306525,6.78511159103645,6.38022417076646,6.31942253888711,6.46330423980028,7.20193534066581,5.00744151959683,4.98373124162897,4.97019130734153,5.40107178925064,5.92697927493662,5.16567114168046,5.60787991208332,5.01336757974898,5.62755654525452,5.48347672341949,6.35961899328298,4.28083608680145,4.51094626624461,5.37600850792124,5.53500652585321
"LOC132752133",5.76576581085496,6.27249358318002,7.17854897783705,5.93471197400108,5.43674068743548,5.82581631098345,6.12393903087845,6.7144970666278,6.65219426677003,6.23214979046188,7.61886416282954,7.28031805467425,5.56041298091419,5.51821679990737,4.64431984398843,4.88598236547629,3.37331148156434,5.01319004205134,5.89349523216449,4.8342562264397,4.94996208246053,4.7898090625435,4.43233883017159,5.7485450295947,5.24432348837883,6.14524036212439,6.24485149976426,4.03038610933582,5.24197484734744,4.63327648759653
"LOC132722176",8.6395318428401,8.76080565623754,8.9626129697809,7.60041450805275,8.14511273087105,9.29802446331181,8.67354648673975,8.49610829092668,7.84449636812946,8.4591843703164,9.59915336889145,8.46707682066436,7.85064954611469,9.1281390997895,8.9899410308386,8.35478659709088,6.5112978073172,7.9460860115812,7.67938289357199,7.88006057187981,7.87828603488822,7.80206017831835,7.03489018992228,7.03061619769936,8.41220752143528,7.81482981901074,8.50915959131953,8.03226415812532,8.07165916113982,7.76569626272086
"LOC132752300",8.5395406667533,10.284174784412,9.01996010766101,9.10965421518198,8.88721864793739,10.5385098239208,9.6049216139601,9.68570329751227,8.81399215574529,9.55804632936137,9.73194100747651,9.79482024055833,8.62682573322078,9.55961940558251,10.6805224705621,8.40354929343618,8.52960716575613,9.16671948582292,9.05106560760338,9.03016006185041,8.59554855343275,8.68661231138949,8.34655628700785,9.32240648627198,8.74425136647388,8.62979758119813,8.68293421781847,7.88235502811057,9.42460887333247,8.86770912199868
